id,reference,creation,link,neighborhood,type,newbuilding,price,price_reduction,rooms,bathrooms,sqrmts,floor,elevator,terrace,heating,balcony,airconditioning,parking,swimmingpool
22356,156594725,2022-09-16,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor/156594725/d?from=list,Ciutat Vella,Piso,Used,970000.0,,3.0,2.0,130.0,1.0,1.0,,,,,,
151,164543556,2022-08-22,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/ascensor/164543556/d?from=list,Eixample,Piso,Used,750000.0,,5.0,2.0,190.0,2.0,1.0,,,,,,
9832,164498262,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/vila-de-gracia/164498262/d?from=list,Gràcia,Piso,Used,350000.0,,,1.0,56.0,1.0,,,,1.0,,,
2208,162792529,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/calefaccion-parking-jardin-terraza-no-amueblado/162792529/d?from=list,Sant Andreu,Casa adosada,Used,830000.0,60000.0,4.0,3.0,207.0,,,1.0,1.0,,,,
23820,164856774,2022-09-19,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-trastero-ascensor-amueblado/164856774/d?from=list,Ciutat Vella,Piso,Used,259000.0,,1.0,1.0,,,1.0,,1.0,,,,
22560,164765575,2022-09-16,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-ascensor/164765575/d?from=list,Gràcia,Piso,Used,,,1.0,1.0,51.0,3.0,1.0,,,,,,
34369,164945762,2022-10-03,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-ascensor-amueblado/164945762/d?from=list,Sant Martí,Piso,Used,430000.0,80000.0,3.0,1.0,,4.0,1.0,,,,,,
8519,162036275,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-zona-comunitaria-ascensor-patio-piscina/162036275/d?from=list,Nou Barris,Piso,Used,284000.0,14000.0,4.0,2.0,91.0,1.0,1.0,,,,,,
12050,164709634,2022-09-05,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/trastero-ascensor-internet/164709634/d?from=list,Nou Barris,Piso,Used,225000.0,,,1.0,66.0,3.0,1.0,,,,,,
33116,164913042,2022-10-03,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/calefaccion-parking-terraza-ascensor/164913042/d?from=list,Les Corts,Piso,Used,599000.0,,,1.0,82.0,,1.0,1.0,1.0,,,,
11031,161662534,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/calefaccion/161662534/d?from=list,Sants - Montjuïc,Piso,Used,,13000.0,3.0,1.0,74.0,2.0,,,1.0,,,,
7736,164608148,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/no-amueblado/164608148/d?from=list,Horta - Guinardó,Piso,Used,165000.0,,3.0,1.0,64.0,3.0,,,,,,,
1956,164039282,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/calefaccion-terraza/164039282/d?from=list,Sarrià - Sant Gervasi,Piso,Used,565000.0,80000.0,4.0,3.0,150.0,5.0,,1.0,1.0,,,,
5359,164642156,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/ascensor/164642156/d?from=list,Sant Martí,Piso,Used,167000.0,,3.0,1.0,73.0,1.0,1.0,,,,,,
39224,165344644,2022-10-28,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-jardin-terraza-zona-comunitaria-ascensor-parking-piscina/165344644/d?from=list,Sarrià - Sant Gervasi,Piso,Used,700000.0,,,,189.0,1.0,1.0,1.0,,,,1.0,
