id,reference,creation,link,neighborhood,type,newbuilding,price,price_reduction,rooms,bathrooms,sqrmts,floor,elevator,terrace,heating,balcony,airconditioning,parking,swimmingpool
21445,164770683,2022-09-16,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/ascensor/164770683/d?from=list,Eixample,Piso,Used,549000,NA,5,2,144,3,1,NA,NA,NA,NA,NA,NA
34692,165005015,2022-10-03,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor/165005015/d?from=list,Sant Martí,Piso,Used,159900,NA,3,1,63,3,1,NA,NA,NA,NA,NA,NA
6317,164607712,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-terraza-ascensor/164607712/d?from=list,Eixample,Ático,Used,399900,NA,3,1,74,7,1,NA,NA,NA,NA,NA,NA
10402,155953415,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-parking-terraza-trastero-ascensor-amueblado/155953415/d?from=list,Sant Martí,Piso,Used,1900000,95000,2,NA,152,14,1,NA,NA,NA,NA,NA,NA
1703,164229267,2022-08-22,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/ascensor/164229267/d?from=list,Gràcia,Piso,Used,450000,NA,NA,NA,121,NA,1,NA,NA,NA,NA,NA,NA
1553,164513053,2022-08-22,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/calefaccion-ascensor/164513053/d?from=list,Gràcia,Piso,Used,440000,NA,4,2,95,1,1,NA,NA,NA,NA,NA,NA
6091,163339315,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor/163339315/d?from=list,Ciutat Vella,Piso,Used,1200000,NA,3,3,160,3,1,NA,NA,NA,NA,NA,NA
10607,163147360,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado/163147360/d?from=list,Eixample,Piso,Used,594294,NA,3,2,98,3,1,NA,NA,NA,NA,NA,NA
36883,165308046,2022-10-28,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-patio/165308046/d?from=list,Sant Andreu,Planta baja,Used,110900,NA,2,1,49,0,NA,NA,1,NA,1,NA,NA
3952,164571963,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/el-raval/164571963/d?from=list,Ciutat Vella,Piso,Used,151800,NA,2,1,60,2,NA,NA,NA,1,NA,NA,NA
10218,163168713,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-trastero-ascensor-amueblado/163168713/d?from=list,Ciutat Vella,Ático,Used,770000,NA,3,2,113,3,1,NA,NA,NA,NA,NA,NA
2883,163709387,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/ascensor-se-aceptan-mascotas-no-amueblado/163709387/d?from=list,Sant Martí,Piso,Used,239000,11000,3,1,72,4,NA,NA,NA,NA,NA,NA,NA
9533,164373929,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-ascensor/164373929/d?from=list,Les Corts,Piso,Used,439000,NA,3,2,98,2,1,NA,NA,NA,NA,NA,NA
